Id,Senang,Sedih,Menjijikkan,Meremehkan,Marah,Takut,Surprise
76,,,5,5,5,,
76,2,6,,,,,
76,6,0,0,0,0,0,9
76,5,,,,,,1
76,,,4,4,7,,
77,1,8,1,0,,,
77,,4,,,,,
77,8,,,,,,
77,7,0,0,0,0,0,0
77,,,5,5,9,7,
77,5,,,,,,2
78,8,,,,,,6
78,5,,,,3,,
78,5,0,0,0,0,0,2
80,2,1,1,1,0,1,
78,5,,,,,,
78,,,8,7,9,7,
79,9,,,,,,
79,10,,,,,,
78,7,0,0,0,0,0,0
79,3,1,1,1,0,3,1
79,4,,,,,,3
79,,,6,,6,,
80,5,5,,,,,
80,8,,,,,,
80,5,,,,,,
80,1,5,,,,,
80,7,0,0,0,0,1,0
80,,,7,7,8,7,
81,2,2,,,,,
81,,9,,,,,
81,8,,,,,,
81,7,0,0,0,0,0,0
81,,6,,,,,4
81,,,7,7,,,
82,10,,,,,,
82,10,,,,,,
82,8,,,,,,6
82,7,0,0,0,0,0,0
82,,,6,9,9,2,
82,9,,,,,,
83,9,,,,,,
83,9,,,,,,9
83,7,0,0,1,0,0,1
83,3,,3,5,8,,
83,5,5,,,,,
84,3,1,0,0,0,0,0
84,,,5,7,10,10,
84,,,,,,5,
84,0,,,,6,4,
84,3,2,,,,9,
85,10,,,,,,
85,7,,,,,,
85,,,,,8,7,
85,10,0,0,0,0,0,0
85,7,,,,,,
85,4,0,0,,,,
86,9,,,,,,
86,6,,,,,,2
86,,,,8,10,10,
86,10,4,4,4,4,0,0
86,3,6,,,,,
86,7,,,,,,
87,7,,,,,,
87,10,0,0,0,0,0,5
87,,7,,,,,
87,1,8,,,,,
87,6,3,,,,,
